CODE_ETU,NOTE_S1,RESULT_S1,NOTE_S2,RESULT_S2,NOTE_S3,RESULT_S3,NOTE_S4,RESULT_S4,NOTE_ANNE_1,RESULT_ANNE_1,NOTE_ANEE_2,RESULT_ANNE_2,PARCOURS,ANNE_1,ANNE_2
12011628.0,8.49,AC,9.78,AC,7.06,AC,6.3,NV,9.13,AC,6.68,NV,BCG,2014.0,2014.0
12011644.0,5.0,NV,0.0,NP,0.0,NP,0.0,NP,2.5,NV,0.0,NP,BCG,2014.0,2014.0
12011662.0,7.41,AC,5.62,NV,1.33,NV,0.0,NP,6.51,NV,0.67,NV,BCG,2014.0,2014.0
12011664.0,6.67,NV,7.95,AC,7.2,AC,3.58,NV,7.31,AC,5.39,NV,BCG,2014.0,2014.0
12011666.0,5.98,NV,7.93,AC,3.38,NV,4.01,NV,6.95,NV,3.7,NV,BCG,2014.0,2014.0
12011667.0,3.68,NV,3.81,NV,0.0,NP,0.0,NP,3.75,NV,0.0,NP,BCG,2014.0,2014.0
12011668.0,7.6,AC,5.35,NV,1.67,NV,0.0,NP,6.48,NV,0.83,NV,BCG,2014.0,2014.0
12011692.0,8.33,AC,2.12,NV,0.88,NV,0.0,NP,5.22,NV,0.44,NV,BCG,2014.0,2014.0
12011695.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
12011705.0,9.33,AC,10.38,V,9.25,AC,8.28,AC,9.86,AC,8.77,AC,BCG,2014.0,2014.0
12011713.0,1.5,NV,1.0,NV,0.0,NP,0.0,NP,1.25,NV,0.0,NP,BCG,2014.0,
12011726.0,2.13,NV,0.0,NP,0.0,NP,0.0,NP,1.07,NV,0.0,NP,BCG,2014.0,2014.0
12011780.0,5.33,NV,9.79,AC,5.39,NV,4.83,NV,7.56,AC,5.11,NV,BCG,2014.0,2014.0
12011785.0,8.33,AC,9.51,AC,6.27,NV,6.17,NV,8.92,AC,6.22,NV,BCG,2014.0,2014.0
12011789.0,6.9,NV,7.92,AC,4.18,NV,2.0,NV,7.41,AC,3.09,NV,BCG,2014.0,2014.0
12011809.0,6.07,NV,5.35,NV,0.97,NV,0.0,NP,5.71,NV,0.48,NV,BCG,2014.0,2014.0
12011867.0,6.68,NV,3.69,NV,1.17,NV,0.0,NP,5.18,NV,0.58,NV,BCG,2014.0,2014.0
12011872.0,6.88,NV,5.42,NV,5.16,NV,0.37,NV,6.15,NV,2.76,NV,BCG,2014.0,2014.0
12011874.0,5.53,NV,1.67,NV,1.67,NV,0.0,NP,3.6,NV,0.83,NV,BCG,2014.0,2014.0
12011883.0,0.13,NV,0.0,NP,0.0,NP,0.0,NP,0.07,NV,0.0,NP,BCG,2014.0,
12011898.0,7.18,AC,7.69,AC,5.15,NV,3.38,NV,7.43,AC,4.26,NV,BCG,2014.0,2014.0
12011899.0,7.18,AC,8.92,AC,3.98,NV,1.67,NV,8.05,AC,2.83,NV,BCG,2014.0,2014.0
12011925.0,8.33,AC,10.0,V,5.0,NV,3.96,NV,9.17,AC,4.48,NV,BCG,2014.0,2014.0
12011940.0,1.67,NV,1.73,NV,0.0,NP,0.0,NP,1.7,NV,0.0,NP,BCG,2014.0,2014.0
12011960.0,10.43,V,9.72,AC,7.5,AC,4.38,NV,10.07,V,5.94,NV,BCG,2014.0,2014.0
12012355.0,2.96,NV,2.6,NV,2.6,NV,0.0,NP,2.78,NV,1.3,NV,BCG,2014.0,2014.0
12012361.0,8.85,AC,10.0,V,0.66,NV,3.15,NV,9.42,AC,1.9,NV,BCG,2014.0,2014.0
12012403.0,5.68,NV,6.98,NV,5.63,NV,2.6,NV,6.33,NV,4.12,NV,BCG,2014.0,2014.0
12012443.0,6.81,NV,9.28,AC,9.27,AC,5.22,NV,8.05,AC,7.24,AC,BCG,2014.0,2014.0
12012449.0,9.15,AC,10.0,V,7.44,AC,3.27,NV,9.58,AC,5.35,NV,BCG,2014.0,2014.0
12012455.0,8.54,AC,9.42,AC,7.16,AC,5.43,NV,8.98,AC,6.3,NV,BCG,2014.0,2014.0
12012558.0,6.73,NV,8.13,AC,2.74,NV,1.67,NV,7.43,AC,2.2,NV,BCG,2014.0,2014.0
12012559.0,7.18,AC,10.08,V,6.26,NV,3.51,NV,8.63,AC,4.88,NV,BCG,2014.0,2014.0
12012676.0,8.9,AC,5.17,NV,3.75,NV,6.41,NV,7.03,AC,5.08,NV,BCG,2013.0,2014.0
12012775.0,6.77,NV,9.02,AC,7.02,AC,6.7,NV,7.9,AC,6.86,NV,BCG,2014.0,2014.0
12012899.0,6.52,NV,4.99,NV,2.84,NV,0.0,NP,5.76,NV,1.42,NV,BCG,2014.0,2014.0
13010014.0,10.37,V,12.1,V,8.58,AC,2.46,NV,11.24,V,5.52,NV,BCG,2014.0,2014.0
